id_user,segment,cluster,nombre_creatividad
1114367,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1070525,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1437442,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1126067,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1008275,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1104802,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1311558,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1122628,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1065031,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1121475,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1302631,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1297310,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1004128,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1405967,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1058330,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1134654,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1239560,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1350782,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1237738,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1133077,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1307998,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1121584,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1306026,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1111523,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1114440,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1172722,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1211590,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
673382,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1125877,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1246858,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1003867,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1201170,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1534617,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1146953,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1021525,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1137144,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
933107,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1018207,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
216065,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1255779,credit_card,3,"Accede a beneficios premium, seguros incluidos y ventajas exclusivas con tu tarjeta"
1339690,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1317581,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1115585,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1121013,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1015789,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1229821,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1126620,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1000735,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1006444,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1314074,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1020775,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1262737,credit_card,3,"Accede a beneficios premium, seguros incluidos y ventajas exclusivas con tu tarjeta"
1241211,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1370777,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1297568,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1200977,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1372697,credit_card,3,"Accede a beneficios premium, seguros incluidos y ventajas exclusivas con tu tarjeta"
1266815,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1020528,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1233001,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1102828,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1010812,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1075529,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1118768,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1110711,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
494518,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
600298,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1351849,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
503044,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1001363,credit_card,2,Controla tus gastos y gana cashback en cada compra del día a día
1229705,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1135058,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1055776,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
1233970,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1364541,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1058362,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1005654,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
1347210,credit_card,3,"Accede a beneficios premium, seguros incluidos y ventajas exclusivas con tu tarjeta"
1264089,credit_card,0,Saca más partido a cada compra — acumula puntos y cashback con tu tarjeta easyMoney
72422,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1140489,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1137012,credit_card,4,Viaja y compra en cualquier parte del mundo con la cobertura que mereces
1134093,credit_card,1,Paga con total seguridad y sin comisiones — la tarjeta pensada para tu tranquilidad
